1	default	pin_out_1	pin_in_1
8	66	24	
8	65	24	
8	64	24	
8	63	24	
8	62	24	
8	61	24	
8	60	24	
8	59	24	
8	58	24	
8	57	24	
8	56	24	
8	55	24	
8	54	24	
8	53	24	
8	52	24	
8	51	24	
8	50	24	
8	49	24	
8	48	24	
8	47	24	
8	46	24	
8	45	24	
8	44	24	
8	43	24	
8	42	24	
8	41	24	
8	40	24	
8	39	24	
8	38	24	
8	37	24	
8	36	24	
8	35	24	
8	34	24	
8	33	24	
8	32	24	
8	31	24	
8	30	24	
8	29	24	
8	28	24	
8	27	24	
8	26	24	
8	25	24	
8	24	24	
8	23	24	
8	22	24	
8	21	24	
8	20	24	
8	19	24	
8	18	24	
8	17	24	
8	16	24	
8	15	24	
8	14	24	
8	13	24	
8	12	24	
8	11	24	
8	10	24	
8	9	24	
8	8	24	
8	7	24	
8	6	24	
8	5	24	
8	4	24	
8	3	24	
8	2	24	
8	1	24	
8	0	24	
7	0	24	
7	0	25	
7	0	26	
7	0	27	
7	0	28	
7	0	29	
7	0	30	
7	0	31	
8	0	31	
0
2	default	pin_out_2	pin_in_2
9	0	31	
9	0	30	
9	0	29	
9	0	28	
9	0	27	
9	0	26	
9	0	25	
9	0	24	
9	0	23	
9	0	22	
9	0	21	
8	0	21	
8	1	21	
8	2	21	
8	3	21	
8	4	21	
8	5	21	
8	6	21	
8	7	21	
8	8	21	
8	9	21	
8	10	21	
8	11	21	
8	12	21	
8	13	21	
8	14	21	
8	15	21	
8	16	21	
8	17	21	
8	18	21	
8	19	21	
8	20	21	
8	21	21	
8	22	21	
8	23	21	
8	24	21	
8	25	21	
8	26	21	
8	27	21	
8	28	21	
8	29	21	
8	30	21	
8	31	21	
8	32	21	
8	33	21	
8	34	21	
8	35	21	
8	36	21	
8	37	21	
8	38	21	
8	39	21	
8	40	21	
8	41	21	
8	42	21	
8	43	21	
8	44	21	
8	45	21	
8	46	21	
8	47	21	
8	48	21	
8	49	21	
8	50	21	
8	51	21	
8	52	21	
8	53	21	
8	54	21	
8	55	21	
8	56	21	
8	57	21	
8	58	21	
8	59	21	
8	60	21	
8	61	21	
8	62	21	
8	63	21	
8	64	21	
8	65	21	
8	66	21	
9	66	21	
0
3	default	pin_out_3	pin_in_3
10	66	21	
0
4	default	pin_out_4	pin_in_4
8	29	7	
8	30	7	
8	31	7	
9	31	7	
9	31	8	
9	31	9	
9	31	10	
9	31	11	
9	31	12	
9	31	13	
9	31	14	
9	31	15	
9	31	16	
9	31	17	
9	31	18	
9	31	19	
9	31	20	
9	31	21	
9	31	22	
9	31	23	
9	31	24	
9	31	25	
9	31	26	
9	31	27	
9	31	28	
9	31	29	
9	31	30	
9	31	31	
9	31	32	
9	31	33	
9	31	34	
9	31	35	
9	31	36	
9	31	37	
9	31	38	
9	31	39	
9	31	40	
9	31	41	
9	31	42	
9	31	43	
9	31	44	
9	31	45	
9	31	46	
9	31	47	
9	31	48	
9	31	49	
9	31	50	
9	31	51	
9	31	52	
9	31	53	
9	31	54	
9	31	55	
9	31	56	
9	31	57	
9	31	58	
