1	default	pin_out_1	pin_in_1
8	133	49	
8	132	49	
8	131	49	
8	130	49	
8	129	49	
8	128	49	
8	127	49	
8	126	49	
8	125	49	
8	124	49	
8	123	49	
8	122	49	
8	121	49	
8	120	49	
8	119	49	
8	118	49	
8	117	49	
8	116	49	
8	115	49	
8	114	49	
8	113	49	
8	112	49	
8	111	49	
8	110	49	
8	109	49	
8	108	49	
8	107	49	
8	106	49	
8	105	49	
8	104	49	
8	103	49	
8	102	49	
8	101	49	
8	100	49	
8	99	49	
8	98	49	
8	97	49	
8	96	49	
8	95	49	
8	94	49	
8	93	49	
8	92	49	
8	91	49	
8	90	49	
8	89	49	
8	88	49	
8	87	49	
8	86	49	
8	85	49	
8	84	49	
8	83	49	
8	82	49	
8	81	49	
8	80	49	
8	79	49	
8	78	49	
8	77	49	
8	76	49	
8	75	49	
8	74	49	
8	73	49	
8	72	49	
8	71	49	
8	70	49	
8	69	49	
8	68	49	
8	67	49	
8	66	49	
8	65	49	
8	64	49	
8	63	49	
8	62	49	
8	61	49	
8	60	49	
8	59	49	
8	58	49	
8	57	49	
8	56	49	
8	55	49	
8	54	49	
8	53	49	
8	52	49	
8	51	49	
8	50	49	
8	49	49	
8	48	49	
8	47	49	
8	46	49	
8	45	49	
8	44	49	
8	43	49	
8	42	49	
8	41	49	
8	40	49	
8	39	49	
8	38	49	
8	37	49	
8	36	49	
8	35	49	
8	34	49	
8	33	49	
8	32	49	
8	31	49	
8	30	49	
8	29	49	
8	28	49	
8	27	49	
8	26	49	
8	25	49	
8	24	49	
8	23	49	
8	22	49	
8	21	49	
8	20	49	
8	19	49	
8	18	49	
8	17	49	
8	16	49	
8	15	49	
8	14	49	
8	13	49	
8	12	49	
8	11	49	
8	10	49	
8	9	49	
8	8	49	
8	7	49	
8	6	49	
8	5	49	
8	4	49	
8	3	49	
8	2	49	
8	1	49	
8	0	49	
7	0	49	
7	0	50	
7	0	51	
7	0	52	
7	0	53	
7	0	54	
7	0	55	
7	0	56	
7	0	57	
7	0	58	
7	0	59	
7	0	60	
7	0	61	
7	0	62	
7	0	63	
8	0	63	
0
2	default	pin_out_2	pin_in_2
9	0	62	
9	0	61	
9	0	60	
9	0	59	
9	0	58	
9	0	57	
9	0	56	
9	0	55	
9	0	54	
9	0	53	
9	0	52	
9	0	51	
9	0	50	
9	0	49	
9	0	48	
9	0	47	
9	0	46	
9	0	45	
9	0	44	
9	0	43	
9	0	42	
8	0	42	
8	1	42	
8	2	42	
8	3	42	
8	4	42	
8	5	42	
8	6	42	
8	7	42	
8	8	42	
8	9	42	
8	10	42	
8	11	42	
8	12	42	
8	13	42	
8	14	42	
8	15	42	
8	16	42	
8	17	42	
8	18	42	
8	19	42	
8	20	42	
8	21	42	
8	22	42	
8	23	42	
8	24	42	
8	25	42	
8	26	42	
8	27	42	
8	28	42	
8	29	42	
8	30	42	
8	31	42	
8	32	42	
8	33	42	
8	34	42	
8	35	42	
8	36	42	
8	37	42	
8	38	42	
8	39	42	
8	40	42	
8	41	42	
8	42	42	
8	43	42	
8	44	42	
8	45	42	
8	46	42	
8	47	42	
8	48	42	
8	49	42	
8	50	42	
8	51	42	
8	52	42	
8	53	42	
8	54	42	
8	55	42	
8	56	42	
8	57	42	
8	58	42	
8	59	42	
8	60	42	
8	61	42	
8	62	42	
8	63	42	
8	64	42	
8	65	42	
8	66	42	
8	67	42	
8	68	42	
8	69	42	
8	70	42	
8	71	42	
8	72	42	
8	73	42	
8	74	42	
8	75	42	
8	76	42	
8	77	42	
8	78	42	
8	79	42	
8	80	42	
8	81	42	
8	82	42	
8	83	42	
8	84	42	
8	85	42	
8	86	42	
8	87	42	
8	88	42	
8	89	42	
8	90	42	
8	91	42	
8	92	42	
8	93	42	
8	94	42	
8	95	42	
8	96	42	
8	97	42	
8	98	42	
8	99	42	
8	100	42	
8	101	42	
8	102	42	
8	103	42	
8	104	42	
8	105	42	
8	106	42	
8	107	42	
8	108	42	
8	109	42	
8	110	42	
8	111	42	
8	112	42	
8	113	42	
8	114	42	
8	115	42	
8	116	42	
8	117	42	
8	118	42	
8	119	42	
8	120	42	
8	121	42	
8	122	42	
8	123	42	
8	124	42	
8	125	42	
8	126	42	
8	127	42	
8	128	42	
8	129	42	
8	130	42	
8	131	42	
8	132	42	
8	133	42	
9	133	42	
0
3	default	pin_out_3	pin_in_3
10	133	42	
0
4	default	pin_out_4	pin_in_4
8	126	65	
7	126	65	
7	126	66	
7	126	67	
7	126	68	
7	126	69	
7	126	70	
7	126	71	
7	126	72	
7	126	73	
7	126	74	
7	126	75	
7	126	76	
7	126	77	
7	126	78	
7	126	79	
7	126	80	
7	126	81	
7	126	82	
7	126	83	
7	126	84	
7	126	85	
7	126	86	
7	126	87	
7	126	88	
7	126	89	
7	126	90	
7	126	91	
7	126	92	
7	126	93	
7	126	94	
7	126	95	
7	126	96	
7	126	97	
7	126	98	
7	126	99	
7	126	100	
7	126	101	
7	126	102	
7	126	103	
7	126	104	
7	126	105	
7	126	106	
7	126	107	
7	126	108	
7	126	109	
7	126	110	
7	126	111	
7	126	112	
7	126	113	
7	126	114	
7	126	115	
7	126	116	
7	126	117	
7	126	118	
7	126	119	
7	126	120	
7	126	121	
7	126	122	
7	126	123	
7	126	124	
7	126	125	
7	126	126	
7	126	127	
7	126	128	
7	126	129	
7	126	130	
7	126	131	
7	126	132	
7	126	133	
7	126	134	
7	126	135	
7	126	136	
7	126	137	
7	126	138	
7	126	139	
7	126	140	
7	126	141	
